🔍 Scanning for 'lines' format chapters...
📊 Need translate: 12058, Done: 355, Failed: 5
  ⏳ 7526 done, 0 failed, 4532 left (~15.6/s, ETA 0.1h)
  ⏳ 7566 done, 0 failed, 4492 left (~24.0/s, ETA 0.1h)
  ⏳ 7603 done, 0 failed, 4455 left (~22.2/s, ETA 0.1h)
  ⏳ 7630 done, 0 failed, 4428 left (~16.2/s, ETA 0.1h)
  ⏳ 7641 done, 0 failed, 4417 left (~6.6/s, ETA 0.2h)
  ⏳ 7655 done, 0 failed, 4403 left (~8.4/s, ETA 0.1h)
  ⏳ 7674 done, 0 failed, 4384 left (~11.4/s, ETA 0.1h)
  ⏳ 7691 done, 0 failed, 4367 left (~10.2/s, ETA 0.1h)
  ⏳ 7720 done, 0 failed, 4338 left (~17.4/s, ETA 0.1h)
  ⏳ 7751 done, 0 failed, 4307 left (~18.6/s, ETA 0.1h)
  ⏳ 7784 done, 0 failed, 4274 left (~19.8/s, ETA 0.1h)
  ⏳ 7812 done, 0 failed, 4246 left (~16.8/s, ETA 0.1h)
  ⏳ 7838 done, 0 failed, 4220 left (~15.6/s, ETA 0.1h)
  ⏳ 7867 done, 0 failed, 4191 left (~17.4/s, ETA 0.1h)
  ⏳ 7886 done, 0 failed, 4172 left (~11.4/s, ETA 0.1h)
  ⏳ 7914 done, 0 failed, 4144 left (~16.8/s, ETA 0.1h)
  ⏳ 7948 done, 0 failed, 4110 left (~20.4/s, ETA 0.1h)
  ⏳ 7974 done, 0 failed, 4084 left (~15.6/s, ETA 0.1h)
